,date_mise_en_service,nb_stations,nb_pdc
0,2002-10-31,1,1
1,2002-11-30,1,1
2,2002-12-31,1,1
3,2003-01-31,1,1
4,2003-02-28,1,1
5,2003-03-31,1,1
6,2003-04-30,1,1
7,2003-05-31,1,1
8,2003-06-30,1,1
9,2003-07-31,1,1
10,2003-08-31,1,1
11,2003-09-30,1,1
12,2003-10-31,1,1
13,2003-11-30,1,1
14,2003-12-31,1,1
15,2004-01-31,1,1
16,2004-02-29,1,1
17,2004-03-31,1,1
18,2004-04-30,1,1
19,2004-05-31,1,1
20,2004-06-30,1,1
21,2004-07-31,1,1
22,2004-08-31,1,1
23,2004-09-30,1,1
24,2004-10-31,1,1
25,2004-11-30,1,1
26,2004-12-31,1,1
27,2005-01-31,1,1
28,2005-02-28,1,1
29,2005-03-31,1,1
30,2005-04-30,1,1
31,2005-05-31,1,1
32,2005-06-30,1,1
33,2005-07-31,1,1
34,2005-08-31,1,1
35,2005-09-30,1,1
36,2005-10-31,1,1
37,2005-11-30,1,1
38,2005-12-31,1,1
39,2006-01-31,1,1
40,2006-02-28,1,1
41,2006-03-31,1,1
42,2006-04-30,1,1
43,2006-05-31,1,1
44,2006-06-30,1,1
45,2006-07-31,1,1
46,2006-08-31,1,1
47,2006-09-30,1,1
48,2006-10-31,1,1
49,2006-11-30,1,1
50,2006-12-31,1,1
51,2007-01-31,1,1
52,2007-02-28,1,1
53,2007-03-31,1,1
54,2007-04-30,1,1
55,2007-05-31,1,1
56,2007-06-30,1,1
57,2007-07-31,1,1
58,2007-08-31,1,1
59,2007-09-30,1,1
60,2007-10-31,1,1
61,2007-11-30,1,1
62,2007-12-31,1,1
63,2008-01-31,1,1
64,2008-02-29,1,1
65,2008-03-31,1,1
66,2008-04-30,1,1
67,2008-05-31,1,1
68,2008-06-30,1,1
69,2008-07-31,1,1
70,2008-08-31,1,1
71,2008-09-30,1,1
72,2008-10-31,1,1
73,2008-11-30,1,1
74,2008-12-31,1,1
75,2009-01-31,1,1
76,2009-02-28,1,1
77,2009-03-31,1,1
78,2009-04-30,1,1
79,2009-05-31,1,1
80,2009-06-30,1,1
81,2009-07-31,1,1
82,2009-08-31,1,1
83,2009-09-30,1,1
